Original.Name,mouse,DOB,mat.DOB,pat.DOB,mother ID,father ID,litter size,previous litters,male mated
17mar16_G_f,17mar16_G_f,Gough L1-3 F8,,,,,,,
6mar16_PWD_m,6mar16_PWD_m,PWD,,,,,,,
"6mar16_G_m (5067, 5064, 5066)","6mar16_G_m (5067, 5064, 5066)",Gough L1-3 F8,,,,,,,
22feb16_G_m (5068),22feb16_G_m (5068),Gough L1-3 F8,,,,PERC 1.1.m1,5,,NA
20feb16_G_f,20feb16_G_f,Gough L1-3 F8,,,,PERC 1.1.m1,5,,NA
16jan16_G_f,16jan16_G_f,gough (probably 1-3),,,,PERC 1.1.m1,5,,NA
10mar15_PWD_m1,10mar15_PWD_m1,,,,,,,,
10mar15_PWD_m2,10mar15_PWD_m2,,,,,,,,
10mar15_WSB_m1,10mar15_WSB_m1,,,,,,,,
10mar15_WSB_m2,10mar15_WSB_m2,,,,,,,,
11sep14_G_m1,11sep14_G_m1,,,,,,,,
11sep14_G_m2,11sep14_G_m2,,,,,,,,
11sep14_G_m3,11sep14_G_m3,,,,,,,,
12Feb17_LEW_m1,12Feb17_LEW_m1,2/1/2017,(8/20/2016),,,,5,,no
12Feb17_LEW_m2,12Feb17_LEW_m2,2/1/2017,(8/20/2016),,,,5,,no
12jun15_WSB_f1,12jun15_WSB_f1,,,,,,,,
12jun15_WSB_f2,12jun15_WSB_f2,,,,,,,,
12jun15_WSB_m1,12jun15_WSB_m1,,,,,,,,
12jun15_WSB_m2,12jun15_WSB_m2,,,,,,,,
12oct15_G_m1,12oct15_G_m1,,,,,,,,
12oct15_WSB_m1,12oct15_WSB_m1,,,,,,,,
12sep16_MSM_f1,12sep16_MSM_f1,9/12/2016,,,Msm2,msm2,6,,
12sep16_MSM_f2,12sep16_MSM_f2,9/12/2016,,,,,6,,
12sep16_MSM_f3,12sep16_MSM_f3,9/12/2016,,,,,6,,
13jan17_LEW_f1,13jan17_LEW_f1,emb,NA,,original founder,,,,
13jan17_LEW_f2,13jan17_LEW_f2,emb,NA,,original founder,,,,
13jan17_LEW_f3,13jan17_LEW_f3,emb,NA,,original founder,,,,
13jan17_LEW_m1,13jan17_LEW_m1,original founder,NA,,NA,NA,NA,NA,yes
13nov16_LEW_m1,13nov16_LEW_m1,10/6/2016,NA,,Lew Female 2 original founder,male 1,,,
13nov16_MSM_f1,13nov16_MSM_f1,11/13/2016,(8/3/2016),,,,3,,
13nov16_MSM_f2,13nov16_MSM_f2,11/13/2016,(8/3/2016),,,,3,,
13nov16_MSM_m1,13nov16_MSM_m1,4/18/2016,,,,,,,yes
13nov16_MSM_m2,13nov16_MSM_m2,4/18/2016,,,,,,,yes
13nov16_WSB_m1,13nov16_WSB_m1,2/24/2016,,,,,,,yes
13oct14_G_f1,13oct14_G_f1,emb,,,,,,,
13oct14_G_f2,13oct14_G_f2,emb,,,,,,,
13oct14_G_f3,13oct14_G_f3,,,,,,,,
13oct14_G_f4,13oct14_G_f4,,,,,,,,
14mar15_G_m1,14mar15_G_m1,,,,,,,,
14mar15_G_m2,14mar15_G_m2,,,,,,,,
14sep14_WSB_f1,14sep14_WSB_f1,,,,,,,,
15sep14_WSB_f1,15sep14_WSB_f1,,,,,,,,
15sep14_WSB_f2,15sep14_WSB_f2,,,,,,,,
16jan16_G_f,16jan16_G_f,,,,,,,,
16jun15_WSB_f1,16jun15_WSB_f1,,,,,,,,
16jun15_WSB_f2,16jun15_WSB_f2,,,,,,,,
16jun15_WSB_f3,16jun15_WSB_f3,,,,,,,,
16jun15_WSB_f4,16jun15_WSB_f4,,,,,,,,
16sep15_WSB_m1,16sep15_WSB_m1,,,,,,,,
17apr15_PWD_f1,17apr15_PWD_f1,,,,,,,,
17apr15_PWD_f2,17apr15_PWD_f2,,,,,,,,
17apr15_PWD_f3,17apr15_PWD_f3,,,,,,,,
17apr15_PWD_f4,17apr15_PWD_f4,,,,,,,,
17mar16_G_f,17mar16_G_f,,,,,,,,
18may15_PWD_m1,18may15_PWD_m1,,,,,,,,
18may15_PWD_m2,18may15_PWD_m2,,,,,,,,
18may15_WSB_m1,18may15_WSB_m1,,,,,,,,
18may15_WSB_m2?,18may15_WSB_m2?,,,,,,,,
19dec16_LEW_f1,19dec16_LEW_f1,12/19/2016,(8/20/2016),,1.1.F1,,4,,
19dec16_MSM_f1,19dec16_MSM_f1,12/19/2016,(8/3/2016),,2.1.F1,,6,,
19dec16_MSM_f2,19dec16_MSM_f2,12/19/2016,(8/3/2016),,2.1.F1,,6,,
19oct15_G_m1,19oct15_G_m1,,,,,,,,
19oct15_WSB_m1,19oct15_WSB_m1,,,,,,,,
1apr15_PWD_f1,1apr15_PWD_f1,,,,,,,,
1apr15_PWD_f2,1apr15_PWD_f2,,,,,,,,
1Apr16_G_m,1Apr16_G_m,,,,,,,,
1Apr16_PWD_m,1Apr16_PWD_m,,,,,,,,
1Apr16_WSB_m,1Apr16_WSB_m,10/19/2015,,,,,,,
1mar15_PWD_m1,1mar15_PWD_m1,,,,,,,,
1mar15_WSB_m1,1mar15_WSB_m1,,,,,,,,
1mar17_CAST_f1,1mar17_CAST_f1,,,,(BP female 4),,,,
20dec16_LEW_m1,20dec16_LEW_m1,10/6/2016,,,,,,,
20dec16_LEW_m2,20dec16_LEW_m2,,NA,,original LEW male,,,,yes
20dec16_LEW_m3,20dec16_LEW_m3,11/2/2016,,,1.1.F2,,1,,
20dec16_MSM_m1,20dec16_MSM_m1,10/5/2016,,,,,,,
20dec16_MSM_m2,20dec16_MSM_m2,10/5/2016,,,,,,,
20feb16_G_f,20feb16_G_f,,,,,,,,
21dec14_WSB_m1,21dec14_WSB_m1,,,,,,,,
21dec14_WSB_m2,21dec14_WSB_m2,,,,,,,,
21dec14_WSB_m3,21dec14_WSB_m3,,,,,,,,
22feb16_G_m (5068),22feb16_G_m (5068),,,,,,,,
22jun15_G_m1,22jun15_G_m1,,,,,,,,
22jun15_G_m2,22jun15_G_m2,,,,,,,,
23apr15_PWD_f1,23apr15_PWD_f1,,,,,,,,
23apr15_PWD_f2,23apr15_PWD_f2,,,,,,,,
23apr15_WSB_f1,23apr15_WSB_f1,,,,,,,,
23apr15_WSB_f2,23apr15_WSB_f2,,,,,,,,
24mar15_G_m1,24mar15_G_m1,,,,,,,,
24mar15_PWD_m2,24mar15_PWD_m2,,,,,,,,
24nov15_WSB_f1,24nov15_WSB_f1,,,,,,,,
24nov15_WSB_f2,24nov15_WSB_f2,,,,,,,,
24sep14_PWD_m1,24sep14_PWD_m1,,,,,,,,
24sep14_PWD_m2,24sep14_PWD_m2,,,,,,,,
24sep14_PWD_m3,24sep14_PWD_m3,,,,,,,,
24sep14_PWD_m4,24sep14_PWD_m4,,,,,,,,
24sep14_PWD_m5,24sep14_PWD_m5,,,,,,,,
25sep14_G_m1,25sep14_G_m1,,,,,,,,
25sep14_G_m2,25sep14_G_m2,,,,,,,,
25sep14_WSB_m1,25sep14_WSB_m1,,,,,,,,
25sep14_WSB_m2,25sep14_WSB_m2,,,,,,,,
25sep14_WSB_m3,25sep14_WSB_m3,,,,,,,,
27jul14_G2892_fL1,27jul14_G2892_fL1,,,,,,,,
27jul14_G2892_fR2,27jul14_G2892_fR2,,,,,,,,
27sep14_WSB_m1,27sep14_WSB_m1,,,,,,,,
28feb15_PWD_f1,28feb15_PWD_f1,,,,,,,,
28feb15_PWD_f2,28feb15_PWD_f2,,,,,,,,
28feb15_PWD_f3,28feb15_PWD_f3,,,,,,,,
28feb15_PWD_f4,28feb15_PWD_f4,,,,,,,,
28feb15_PWD_f5,28feb15_PWD_f5,,,,,,,,
28feb15_PWD_f6,28feb15_PWD_f6,,,,,,,,
28feb15_PWD_f7,28feb15_PWD_f7,,,,,,,,
28jul14_G_f1,28jul14_G_f1,,,,,,,,
30aug14_G2886_f1,30aug14_G2886_f1,,,,,,,,
30aug14_G2886_f2,30aug14_G2886_f2,,,,,,,,
30aug14_G2886_f3,30aug14_G2886_f3,,,,,,,,
30dec14_WSB_m1,30dec14_WSB_m1,,,,,,,,
30dec14_WSB_m2,30dec14_WSB_m2,,,,,,,,
30dec14_WSB_m3,30dec14_WSB_m3,,,,,,,,
30dec14_WSB_m4,30dec14_WSB_m4,,,,,,,,
30dec14_WSB_m5,30dec14_WSB_m5,,,,,,,,
30Dec16_MSM_m1,30Dec16_MSM_m1,12/18/2016,,,,,5,,no
30Dec16_MSM_m2,30Dec16_MSM_m2,12/18/2016,,,,,5,,no
30Dec16_MSM_m3,30Dec16_MSM_m3,12/18/2016,,,,,5,,no
30jun16_CAST_m1,30jun16_CAST_m1,,,,,,,,
30jun16_CAST_m2,30jun16_CAST_m2,,,,,,,,
30jun16_CAST_m3,30jun16_CAST_m3,,,,,,,,
30sep14_G_m1,30sep14_G_m1,,,,,,,,
30sep14_G_m2,30sep14_G_m2,,,,,,,,
30sep14_G_m3,30sep14_G_m3,,,,,,,,
30sep14_G_m4,30sep14_G_m4,,,,,,,,
30sep14_G_m5,30sep14_G_m5,,,,,,,,
30sep14_G_m6,30sep14_G_m6,,,,,,,,
30sep16_MSM_f1,30sep16_MSM_f1,9/30/2016,(4/18/16?),,original MSM female breeder,,6,,
30sep16_MSM_f2,30sep16_MSM_f2,9/30/2016,(4/18/16?),,original MSM female breeder,,6,,
30sep16_MSM_f3,30sep16_MSM_f3,9/30/2016,,,younger MSM two',,4,,
31aug16_MSM_m1,31aug16_MSM_m1,6/28/2016,,,,,,,
31aug16_MSM_m2,31aug16_MSM_m2,,,,,,,,
31mar15_WSB_m1,31mar15_WSB_m1,,,,,,,,
31mar15_WSB_m2,31mar15_WSB_m2,,,,,,,,
31mar15_WSB_m3,31mar15_WSB_m3,,,,,,,,
3jan16_G_m (4718),3jan16_G_m (4718),,,,,,,,
3jan16_G_m (5046),3jan16_G_m (5046),,,,,,,,
3jan16_G_m1,3jan16_G_m1,,,,,,,,
3jan16_G_m2,3jan16_G_m2,,,,,,,,
3nov15_WSB_f1,3nov15_WSB_f1,,,,,,,,
3sep14_PWD_m1,3sep14_PWD_m1,,,,,,,,
3sep14_PWD_m2,3sep14_PWD_m2,,,,,,,,
4apr15_WSB_f1,4apr15_WSB_f1,,,,,,,,
4apr15_WSB_f2,4apr15_WSB_f2,,,,,,,,
4apr16_WSB_f1,4apr16_WSB_f1,,,,,,,,
4apr16_WSB_f2,4apr16_WSB_f2,,,,,,,,
4jan17_LEW_f1,4jan17_LEW_f1,1/4/2017,(10/6/16),,1.2.F2,1.2.m3,6,,
4jan17_LEW_f2,4jan17_LEW_f2,1/4/2017,(10/6/16),,1.2.F2,1.2.m3,6,,
4jan17_LEW_f3,4jan17_LEW_f3,1/4/2017,(10/6/16),,1.2.F2,1.2.m3,6,,
4jan17_LEW_f4,4jan17_LEW_f4,emb,(10/6/16),,1.2.F1,1.2.m2,6,,
4jan17_LEW_f5,4jan17_LEW_f5,emb,(10/6/16),,1.2.F1,1.2.m2,6,,
4jan17_LEW_f6,4jan17_LEW_f6,emb,(10/6/16),,1.2.F1,1.2.m2,6,,
4jan17_LEW_f7,4jan17_LEW_f7,emb,(10/6/16),,1.2.F1,1.2.m2,6,,
4jan17_LEW_m1,4jan17_LEW_m1,10/6/2016,,,,,,,
6apr17_LEW_m1,6apr17_LEW_m1,3/1/2017,(10/6/2016),,LEW 1.2.f3,LEW 1.2.m3,,,
6apr17_LEW_m2,6apr17_LEW_m2,3/1/2017,(10/6/2016),,LEW 1.2.f3,LEW 1.2.m3,,,
6apr17_LEW_m3,6apr17_LEW_m3,3/1/2017,(10/6/2016),,LEW 1.2.f3,LEW 1.2.m3,,,
6apr17_LEW_m4,6apr17_LEW_m4,3/1/2017,(10/6/2016),,LEW 1.2.f3,LEW 1.2.m3,,,
6apr17_LEW_m5,6apr17_LEW_m5,3/1/2017,(10/6/2016),,LEW 1.2.f3,LEW 1.2.m3,,,
6apr17_LxP.F1_m1,6apr17_LxP.F1_m1,2/28/2017,(1/2/17),,LEW1.1.F1,PERC 1.1.m1,4,,
6apr17_LxP.F1_m2,6apr17_LxP.F1_m2,2/28/2017,(1/2/17),,LEW1.1.F1,PERC 1.1.m1,4,,
6apr17_LxP.F1_m3,6apr17_LxP.F1_m3,2/27/2017,,,LEW1.1.F2,PERC 1.1.m1,,,
6mar16_G_m1,6mar16_G_m1,,,,,,,,
6mar16_G_m2,6mar16_G_m2,,,,,,,,
6mar16_G_m3,6mar16_G_m3,,,,,,,,
6mar16_PWD_m,6mar16_PWD_m,,,,,,,,
8jun15_G_f1,8jun15_G_f1,emb,,,,,,,
8jun15_G_f2,8jun15_G_f2,emb,,,,,,,
8jun15_G_f3,8jun15_G_f3,emb,,,,,,,
8jun15_G_f4,8jun15_G_f4,emb,,,,,,,
8oct14_G_f1?,8oct14_G_f1?,,,,,,,,
8oct14_PWD_f1,8oct14_PWD_f1,,,,,,,,
8oct14_PWD_f2,8oct14_PWD_f2,,,,,,,,
8oct14_PWD_f3,8oct14_PWD_f3,,,,,,,,
8oct14_PWD_f4,8oct14_PWD_f4,,,,,,,,
8oct14_PWD_f5,8oct14_PWD_f5,,,,,,,,
8oct14_PWD_f6,8oct14_PWD_f6,,,,,,,,
8oct14_PWD_f7,8oct14_PWD_f7,,,,,,,,
8oct14_PWD_f8,8oct14_PWD_f8,,,,,,,,
8oct14_WSB_f1,8oct14_WSB_f1,,,,,,,,
8oct14_WSB_f2,8oct14_WSB_f2,,,,,,,,
8oct14_WSB_f3,8oct14_WSB_f3,,,,,,,,
8sep14_PWD_m1,8sep14_PWD_m1,,,,,,,,
8sep14_PWD_m2,8sep14_PWD_m2,,,,,,,,
L1-3,L1-3,,,,,,,,
,,,,,,,,,
,,,,,,,,,
MSM_m1,MSM_m1,12/1/2016,,,1.2.f2,1.2.m1,,,
SPRET_m1,SPRET_m1,,jax,,jax,jax,,,
PERC_m1,PERC_m1,5/23/2016,jax,,jax,jax,,,
CAST_m1,CAST_m1,11/24/2015,jax,,jax,jax,,,
,,,,,,,,,
30may17_SPRET_f1,30may17_SPRET_f1,5/30/2017,,,,,3,,
30may17_SPRET_m1,30may17_SPRET_m1,4/9/2017,1/22/2017 (both parents),,,,,,
30may17_MSM_m1,30may17_MSM_m1,12/1/2016,,,1.2.f2,1.2.m1,,,
