mouse,repeat.good,age,sp1,sp2,sp3,sp1 cells,sp2 cells,sp3 cells
30jun16_CAST_m3,30jun16_CAST_m3,~21,1july16_MLH1_sp1,DMC1,,,,
1apr16_PWD_m,,,20may16_MLH1_sp1,DMC1,,,,
1apr16_G_m1,,,20may16_MLH1_sp1,DMC1,,,,
1apr16_G_m2,,,MLH1,,,,,
1apr16_G_m3,,,MLH1,,,,,
1apr16_G_m4,,,MLH1,,,,,
1apr16_WSB_m (from charmony,,,20may16_MLH1_sp1,DMC1,,,,
17mar16_G_f1,17mar16_G_f1,neonate,22mar16_MLH1_sp1,11apr16_DMC1_sp2,29mar17_DMC1_sp3,,,
17mar16_G_f2,17mar16_G_f2,neonate,24mar16_MLH1,11apr16_DMC1_sp2,,,,
17mar16_G_f3,17mar16_G_f3,neonate,24mar16_MLH1,11apr16_DMC1_sp2,DMC1 or RAD51,,,
17mar16_G_f4,,neonate,24mar16_MLH1,11apr16_DMC1_sp2,,,,
17mar16_G_f5,17mar16_G_f5,neonate,18mar16_MLH1,11apr16_DMC1_sp2,29mar17_DMC1,,,
,,,,,,,,
6mar16_PWD_m1,6mar16_PWD_m1,7.8w,18mar16_MLH1,DMC1,,,,
6mar16_G_m1,6mar16_G_m1,11w,18mar16_MLH1,DMC1,,,,
6mar16_G_m2,6mar16_G_m2,11w,18mar16_MLH1,DMC1,,,,
6mar16_G_m3,6mar16_G_m3,11w,18mar16_MLH1,DMC1,,,,
22feb16_G_m1,22feb16_G_m1,9w,26feb16_MLH1,DMC1,,,,
20feb16_G_f1,,17.5,26feb16_MLH1,DMC1,,,,
20feb16_G_f2,20feb16_G_f2,17.5,26feb16_MLH1,DMC1,,,,
20feb16_G_f3,20feb16_G_f3,17.5,26feb16_MLH1,DMC1,,,,
16jan16_G_f1,16jan16_G_f1,neonate,15jan16_MLH1,,,,,
16jan16_G_f2,16jan16_G_f2,neonate,15jan16_MLH1,,,,,
16jan16_G_f3,16jan16_G_f3,neonate,15jan16_MLH1,,,,,
,,,,,,,,
3jan16_G_m2,3jan16_G_m2,20 w,4jan16_MLH1_sp1,18may16_DMC1_sp2,,,,
3jan16_G_m1,3jan16_G_m1,6 w,4jan16_MLH1_sp1,18may16_DMC1_sp2,RAD51,,,
24nov15_WSB_f1,,neonate,4dec14_MLH1_sp1,15dec15_MLH1,,,,
24nov15_WSB_f2,,neonate,4dec14_MLH1_sp1,15dec15_MLH1,,,,
3nov15_WSB_f1,,neonate,4dec14_MLH1_sp1,4jan16_MLH1_sp2,22feb16_MLH1_sp3,,,
19oct15_WSB_m1,,18w,4dec14_MLH1_sp1,25may16_DMC1_sp2,,,,
19oct15_G_m1,,34w,4dec14_MLH1_sp1,,,,,
12oct15_G_m1,12oct15_G_m1,21w,13oct15_MLH1_sp1 (23 good Images),19oct15_DMC1_sp2,,,,
12oct15_WSB_m1,,34w,13oct15_MLH1,,,,,
16sep15_WSB_m1,16sep15_WSB_m1,13w,13oct15_MLH1_sp1,18may16_DMC1_sp2,,,,
,,,,,,,,
22jun15_G_m1,22jun15_G_m1,11w,"13jul15_MLH1_sp1, cells very broken, very hard to find intact cells",13aug15_MLH1_sp2,17 decent cells,,,
22jun15_G_m2,22jun15_G_m2,11w,13jul15_MLH1_sp1 >25 good cells,6sep15_DMC1_sp2,DMC1 or RAD51,,,
,,,,,,,,
16jun15_WSB_f1,,14-21dpc,22jun15_MLH1_sp1,13aug15_MLH1_sp2,,,,
16jun15_WSB_f2,,12-16 dpc,22jun15_MLH1_sp1,31aug15_MLH1,,,,
16jun15_WSB_f3,,14-21dpc,"22jun15_MLH1_sp1, foci not distinct",31aug15_MLH1,,,,
16jun15_WSB_f4,16jun15_WSB_f4,e17,"22jun15_MLH1_sp1, high cell density, low signal, ~10 good cells",13aug15_MLH1_sp2,very low foci signal,,,
,,,,,,,,
12jun15_WSB_m1,12jun15_WSB_m1,10 weeks,"22jun15_MLH1_sp1, 13 good cells",DMC1,,,,
12jun15_WSB_m2,12jun15_WSB_m2,10 weeks,"22jun15_MLH1_sp1, some good cells",<image more,,,,
12jun15_WSB_f1,12jun15_WSB_f1,17-21 dpc,"16jun15_MLH1_sp1, ~20 good image",MLH1,DMC1,,,
12jun15_WSB_f2,X,0days/neonate,"16jun15_MLH1_sp1 awesome, 7 good images 30 cells imaged",13aug15_MLH1_sp2,15dec15_MLH1_sp3,"all very faint foci, <10 good cells",,
,,,,,,,,
8jun15_G_f1,8jun15_G_f1,13-18 dpc,"16jun15_MLH1_sp1, (few good cells) 10/14 cells",31aug15_MLH1,,,,
8jun15_G_f2,,13-18 dpc,"16jun15_MLH1_sp1, 1 good cell",13aug15_MLH1_sp2,15dec15_MLH1_sp2,,,
8jun15_G_f3,8jun15_G_f3,13-18 dpc,"16jun15_MLH1_sp1, 4good/44, 30/44 semi good cells",31aug15_MLH1,,,,
8jun15_G_f4,8jun15_G_f4,13-18 dpc,"16jun15_MLH1_sp1, 4 good cells",31aug15_MLH1,,,,
18may15_PWD_m1,18may15_PWD_m1,8 w,MLH1,DMC1 or RAD51,,,,
18may15_PWD_m2,18may15_PWD_m2,7-8w,"13jul15_MLH1_sp1, very good slide",6sep15_DMC1_sp2,DMC1,,,
18may15_WSB_m1,18may15_WSB_m1,7-8w,"19apr15_MLH1, very good slide",6sep15_DMC1_sp2,,,,
18may15_WSB_m2,,8w,"19apr15_MLH1, 20 good cells images",6sep15_DMC1_sp2,<- can't find WSB_m2,,,
,,8w,MLH1? have trouble finding,can't find,,,,
,,,,,,,,
24apr15_WSB_m1,,21,20may16_MLH1_sp1,,,,,
24apr15_PWD_m1,,5,20may16_MLH1_sp1,,,,,
24apr15_PWD_m2,,5,20may16_MLH1_sp1,,,,,
23apr15_WSB_f1,,e18-21,"19apr15_MLH1, very low cell density, 19 good cells",15dec15_MLH1_sp2,4dec14_MLH1_sp3,,,
23apr15_WSB_f2,,e18-21,19apr15_MLH1 -- hard time finding slide,MLH1,,,,
23apr15_PWD_f1,23apr15_PWD_f1,neonate,"19apr15_MLH1, 11 good images. collect more",21oct15_DMC1_sp2,,,,
23apr15_PWD_f2,23apr15_PWD_f2,neonate,"19apr15_MLH1, 25 images",6sep15_DMC1_sp2,,,,
,,,,,,,,
17apr15_PWD_f1,17apr15_PWD_f1,neonate,21apr15_MLH1,6sep15_DMC1_sp2,,"40 images taken, ~25 average",,
17apr15_PWD_f2,,neonate,"21apr15_MLH1_sp1, ",31aug15_MLH1,DMC1,,,
17apr15_PWD_f3,,neonate,21apr15_MLH1 16 good cells + 30 cells,MLH1,DMC1,decent cells,,
17apr15_PWD_f4,17apr15_PWD_f4,neonate,21apr15_MLH1,6sep15_DMC1_sp2,,"decent cells, some good MLH1 signal, maybe need to collect more data",,
,,,,,,,,
4apr15_WSB_f1,4apr15_WSB_f1,neonate,"21apr15_MLH1, 17 good cells",21oct15_DMC1,,9/21 good cells,,
4apr15_WSB_f2,4apr15_WSB_f2,neonate,"21apr15_MLH1, 11 good cells",19oct15_DMC1_sp2,,13/22 good cells,,
1apr15_PWD_f1,1apr15_PWD_f1,e16-21,"6apr15_MLH1, 15 good cells",21oct15/ 19oct15_DMC1_sp2,,,,
1apr15_PWD_f2,,e16-21,6apr15_MLH1 awful low cell density,4jan16_MLH1_sp2,,,,
,,,,,,,,
31mar15_WSB_m1,X,18w,"6apr15_MLH1, cells not as good",,DMC1,,,
31mar15_WSB_m2,31mar15_WSB_m2,18w,"6apr15_MLH1, cells looked pretty good 18 good cells","23may15_DMC1_sp2 cells very lysed, hard to find isolated cells",,23 average,,
31mar15_WSB_m3,31mar15_WSB_m3,23w,6apr15_MLH1 25 cells,23may15_DMC1_sp2 pretty good signal,,,,
,,,,,,,,
24mar15_G_m1,X,28w,MLH1,4jan16_MLH1,,,,
24mar15_PWD_m2,24mar15_PWD_m2,12w,6apr15_MLH1,12jun15_DMC1_sp2,19oct15_DMC1_sp3 (21oct15),20 good cells,,
,,,,,,,,
14mar15_G_m1,,46w,17mar15_MLH1,DMC1,RAD51,DMC1+RAD51,23/32 good cells,
14mar15_G_m2,,46w,17mar15_MLH1,<DMC1>,,10/28 good cells,,
,,,,,,,,
10mar15_WSB_m1,10mar15_WSB_m1,17w,16mar15_MLH1,<DMC1>,,,,
10mar15_WSB_m2,10mar15_WSB_m2,17w,"13mar15_MLH1 (SC not in the best chap, but there are some good cells)",<DMC1>,,,,
10mar15_PWD_m1,10mar15_PWD_m1,13w,13mar15_MLH1,12jun15_DMC1_sp2,,,,
10mar15_PWD_m2,10mar15_PWD_m2,13w,13mar15_MLH1,12jun15_DMC1_sp2,,,,
1mar15_WSB_m1,1mar15_WSB_m1,19w,4mar15_MLH1 39 images,"17mar15_DMC1 cells very compact, quite alot of sperm debris",,,,
1mar15_PWD_m1,1mar15_PWD_m1,12w,4mar15_MLH1_sp1   <cells much lower>,17mar15_DMC1,,,,
,,,,,,,,
28feb15_PWD_f1,28feb15_PWD_f1,16-18,7mar15_MLH1 22 of 15 cells,17mar15_DMC1,DMC1,"many cells with too many SC, think that this mouse might be anueploidic",,
28feb15_PWD_f2,28feb15_PWD_f2,16-18,"7mar15_MLH1, 38 cells",17mar15_DMC1,DMC1,25.21 38 cells,,
28feb15_PWD_f3,28feb15_PWD_f3,16-18,7mar15_MLH1,17mar15_DMC1,,~14 good cells,,
28feb15_PWD_f4,,e18,7mar15_MLH1,14dec15_MLH1_sp2,MLH1,,,
28feb15_PWD_f5,X,e18,7mar15_MLH1,14dec15_MLH1_sp2,,cells not very good,,
28feb15_PWD_f6,28feb15_PWD_f6,e18,7mar15_MLH1,<DMC1>,,20 good cells,,
28feb15_PWD_f7,,e18,13mar15_MLH1,14dec15_MLH1_sp3,MLH1,,,
,,,,,,,,
30dec14_WSB_m1,,2 w,7jan15_MLH1 not as good.,15jan16_MLH1,4jan16_MLH1,,,
30dec14_WSB_m2,30dec14_WSB_m2,2 w,7jan15 AMAZING!,17mar15_DMC1_sp2,,>24 of 50,,
30dec14_WSB_m3,,2 w,25jan15_MLH1_sp1,19jan16_MLH1_sp2,23may15_DMC1_sp2,"cells all bad, no foci signal",,
30dec14_WSB_m4,30dec14_WSB_m4,2 w,,12jun15_DMC1_sp2,6feb15_MLH1,,,20 good cells
30dec14_WSB_m5,,2 w,6feb15_MLH1 cells not that good,,,many cells broken and SC everywhere. 2 cells good,,
,,,,,,,,
21dec14_WSB_m1,,25 weeks,17jan15_MLH1_(SP5),13oct15_MLH1,,sp1 not many good cells,,
21dec14_WSB_m2,21dec14_WSB_m2,34,,13oct15_MLH1,,,,
21dec14_WSB_m3,21dec14_WSB_m3,37,2jan15_MLH1 slide broke,MLH1,,,,
~3 months 18.5embryo,~3 months 18.5embryo,,,,,,,
13oct14_G2886_f1,,e18.5,"18sep14_MLH1, poor cell staging and clumped cells. bad spread of SC.",25mar15_MLH1_sp1?,,58 images,,
13oct14_G2886_f2,13oct14_G2886_f2,e18.5,"22jan15_MLH1  6feb15 sp1, about 17 good cells",<DMC1>,,n=22 23 average,,
13oct14_G2886_f3,13oct14_G2886_f3,e18.5,"7jan15 continue imaging, probably has some good cells.",<DMC1>,,23 of 37  26.2 average,,
13oct14_G_f4? check records  f1?,13oct14_G_f4? check records  f1?,,23mar15_MLH1,,,some distinct good foci,,
12oct14_G_f1? (excellent) (8oct15)? // really 13oct15 -- no 12oct14 female.,,,23mar15_MLH1_sp1,,,,,
8oct14_G_f1?,8oct14_G_f1?,,,,,,,
8oct14_G_f2,,,MLH1,,,,,
8oct14_G_f2,,,MLH1,,,,,
,,,,,,,,
8oct14_PWD_f1,X,neonate,"2dec14_MLH1 (29nov14), about half images taken had good cells (images taken over 2-3 days)",16mar15_MLH1 very low cell density,DMC1?,12 of 31 ~25.8,,
8oct14_PWD_f2,X,neonate,2dec14_MLH1 (images taken over 2-3 days). ,MLH1,,<10 good cells. 7 of 34 average 23.17,,
8oct14_PWD_f3,X,neonate,7jan15 almost no pachtyene cells. some bright decent foci. almost all wrong stage,MLH1 / DMC1?,,0 of 12,,
8oct14_PWD_f4,8oct14_PWD_f4,neonate,"19/16mar15_MLH1, maybe 11 cells",DMC1,,,,
8oct14_PWD_f5,X,neonate,"17jan15_MLH1, some good cells, not that many",,,"2 of 10, cells not so good",,
8oct14_PWD_f6,,neonate,17jan15_MLH1_sp1,,,,,
8oct14_PWD_f7,,neonate,19mar15_ML:H1,16mar15_MLH1_sp1,,,,
8oct14_PWD_f8,8oct14_PWD_f8,neonate,"25jan15 MLH1, ~27 good cellls","23may15_DMC1_sp2, very few good cells",DMC1 or RAD51,n=17,,
,,,,,,,,
8oct14_WSB_f1,,neonate,17jan15_MLH1,13mar15_MLH1,,any images taken?,,
8oct14_WSB_f2,X,neonate,14nov14_MLH1 (awful),6feb15_MLH1,,0 of 13 no very bright foci,,
8oct14_WSB_f3,X,neonate,14nov14_MLH1 (awful),"2jan15_MLH1 some decent cells, fair amount of SC noise. 7 good pachtyene cells from half of slide.",,any images taken?,,
,,,,,,,,
30sep14_G_m1,30sep14_G_m1,~2w,"7jan15_MLH1 most cells not that good, but can get some counts. still decent amount of noise. 1 excellent cell with very bright foci. ","16dec14_MLH1, poor MLH1 signal",23may15_DMC1_sp3,10 of 23 mu=23.2,5 of 35,
30sep14_G_m2,30sep14_G_m2,~2w,6feb15_MLH1_sp1 (files misnamed -SP2--should be sp1),23may15_DMC1_sp2 pretty good staining,,"pretty good cells, some percentage of bright foci. 12 of 35 cells. average 23",,
30sep14_G_m3,,~2w,14feb15_MLH1_sp2,6feb15_MLH1_sp2 ? 14feb15_MLH1,20/23may15_DMC1_sp1 bad,,about 18 good cells of 36,
30sep14_G_m4,,~2w,6feb15_MLH1_sp1,23mar15_MLH1_sp2,,bad cells,,
30sep14_G_m5,30sep14_G_m5,~2w,19mar15_MLH1_sp1,23mar15_MLH1_sp2,12jun15_DMC1_sp3,,,
30sep14_G_m6?,,,MLH1?,,,,,
,,,,,,,,
27sep14_WSB_m1,,~2w,18may16_DMC1_sp2,"7jan15 Not a very good slide. 6 images taken, few good ones. very poor green channel",,,0 of 6,
,,,17jan15_MLH1 a few bright foci. but very few cells.,,,,,
25sep14_WSB_m1,,~2w,14nov14_MLH1 (awful) or 16nov14 MLH1,25mar15_MLH1_sp2,,0 of 6,,
25sep14_WSB_m2,,~2w,14nov14_MLH1 (awful) (cell integreity?),,,0 of 13,,
25sep14_WSB_m3,,~2w,14nov14_MLH1 (awful),,,0 of 10,,
,,,,,,,,
25sep14_G_m1,25sep14_G_m1,~2w,23mar15_MLH1_sp1,,12jun15_DMC1_sp3,,,
25sep14_G_m2,,~2w,2dec14_MLH1 spermatocytes in bad shape,18may16_DMC1_sp2,,,,
,,,,,,,,
24sep14_PWD_m1,,~2w,4mar15_MLH1_sp1   kinda good slide,25jan15_MLH1_sp2,,,,
24sep14_PWD_m2,,~2w,"cells not good, not in tack",,,,,
24sep14_PWD_m3,,~2w,2jan15_MLH1 cells not very good. low cell density. very few pachtyene cells.,,,0 of 6,,
24sep14_PWD_m4,,~2w,"sp1, 16dec14 MLH1",,17jan15_MLH1,7 of 19,,
24sep14_PWD_m5,,~2w,female?,,,,,
,,,,,,,,
15sep14_WSB_f1,,neonate,19jan16_MLH1_sp1,,,,,
15sep14_WSB_f2,,neonate,MLH1_20sep14(28sep14) ~15 good cells,15jan16_MLH1,,n=17,,
14sep14_WSB_f1,,neonate,"MLH1_20sep14(28sep14), low confidence cells from this spread",MLH1 13 cells,,7 of 35,,
,,,,,,,,
11sep14_G_m1,,~2w,14sep14_DMC1,MLH1_20sep14(28sep14),,,8 of 47 (MLH1),
11sep14_G_m2,,~2w,14sep14_DMC1,"MLH1_20sep14(28sep14), 13 cells",,,17 of 32 (MLH1),
11sep14_G_m3,,~2w,,18may16_DMC1_sp2?,,,,
,,,,,,,,
8sep14_PWD_m1,,~2w,14sep14_DMC1,MLH1_20sep14(28sep14) (not yet imaged),,13 of 26 (MLH1),,
8sep14_PWD_m2,,~2w,14sep14_DMC1,MLH1_20sep14(28sep14) not very good images from this slide,,5 of 35 (MLH1) 39 DMC1 cells,,
3sep14_PWD_m1,,~2w,DMC1_4sep14,MLH1?,,,,
3sep14_PWD_m2,,~2w,DMC1_4sep14,"16dec14_MLH1, cells not very condensed. tissue digest before hand must helped seperate the tissue",,(second set of incubation slides made),,
,,,,,,,,
30aug14_G2886_f1,30aug14_G2886_f1,18.5 neonate,31aug14_MLH1?,"MLH1sep sp2, 9 images all bad, cells too compact",,,0 of 9,
30aug14_G2886_f2,30aug14_G2886_f2,18.5 neonate,31aug14_MLH1?,,,,,
30aug14_G2886_f3,30aug14_G2886_f3,18.5 neonate,31aug14_MLH1?,,,,,
,,,,,,,,
28jul14_G_f1,28jul14_G_f1,,,,,,,
L1-3  16.5 embryonic,L1-3  16.5 embryonic,e16.5,,,,,,
27jul14_G2892_fL1,27jul14_G2892_fL1,e16.5,"3aug14_MLH1 low noise level, threw away due to low cell density",8aug14_MLH1,3aug14_MLH1 cells were compact. 12 images taken,,6,12
27jul14_G2892_fR2,27jul14_G2892_fR2,e16.5,"8aug14 stain some good cells, overall unuseable without high degree of tinkering","8aug14 stain  awful, bright green clouds of MLH1","8aug14 stain suprisingly good, found in freezer, imaged 4jan15. high proportion of pachtyene cells. bright MLH1 foci",0 of 24,0 of ~20,22 good cells
